Date,Commodity,Sector,Closing Price
8/12/2010,Gold,Precious Metals,1216.60
8/12/2010,Heating Oil,Energy,2.00
8/12/2010,Natural Gas,Energy,1.68
8/12/2010,Platinum,Precious Metals,1538.10
8/12/2010,Rice,Agriculture,11.67
8/12/2010,Silver,Precious Metals,18.11
8/12/2010,Soybeans,Agriculture,1014.00
8/12/2010,Wheat,Agriculture,695.00
8/13/2010,Crude Oil,Energy,75.67
8/13/2010,Gasoline,Energy,1.94
8/13/2010,Gold,Precious Metals,1226.20
8/13/2010,Heating Oil,Energy,2.00
8/13/2010,Natural Gas,Energy,1.64
8/13/2010,Platinum,Precious Metals,1526.20
8/13/2010,Rice,Agriculture,11.49
8/13/2010,Silver,Precious Metals,18.48
8/13/2010,Soybeans,Agriculture,1010.00
8/13/2010,Wheat,Agriculture,699.50
8/16/2010,Crude Oil,Energy,75.60
8/16/2010,Gasoline,Energy,1.92
8/16/2010,Gold,Precious Metals,1228.30
8/16/2010,Heating Oil,Energy,1.99
8/16/2010,Natural Gas,Energy,1.72
8/16/2010,Platinum,Precious Metals,1537.30
8/16/2010,Rice,Agriculture,11.51
8/16/2010,Silver,Precious Metals,18.65
8/16/2010,Soybeans,Agriculture,1005.50
8/16/2010,Wheat,Agriculture,690.00
8/17/2010,Crude Oil,Energy,75.06
8/17/2010,Gasoline,Energy,1.95
8/17/2010,Gold,Precious Metals,1231.40
8/17/2010,Heating Oil,Energy,2.03
8/17/2010,Natural Gas,Energy,1.72
8/17/2010,Platinum,Precious Metals,1546.60
8/17/2010,Rice,Agriculture,11.38
8/17/2010,Silver,Precious Metals,18.45
8/17/2010,Soybeans,Agriculture,1012.25
8/17/2010,Wheat,Agriculture,707.50
8/18/2010,Crude Oil,Energy,74.75
8/18/2010,Gasoline,Energy,1.96
8/18/2010,Gold,Precious Metals,1235.40
8/18/2010,Heating Oil,Energy,2.02
8/18/2010,Natural Gas,Energy,1.78
8/18/2010,Platinum,Precious Metals,1536.50
8/18/2010,Rice,Agriculture,11.37
8/18/2010,Silver,Precious Metals,18.38
8/18/2010,Soybeans,Agriculture,1035.00
8/18/2010,Wheat,Agriculture,715.50
8/19/2010,Crude Oil,Energy,75.27
8/19/2010,Gasoline,Energy,1.93
8/19/2010,Gold,Precious Metals,1228.80
8/19/2010,Heating Oil,Energy,2.00
8/19/2010,Natural Gas,Energy,1.75
8/19/2010,Platinum,Precious Metals,1527.50
8/19/2010,Rice,Agriculture,11.47
8/19/2010,Silver,Precious Metals,18.04
8/19/2010,Soybeans,Agriculture,1052.00
8/19/2010,Wheat,Agriculture,741.25
8/20/2010,Crude Oil,Energy,74.45
8/20/2010,Gasoline,Energy,1.93
8/20/2010,Gold,Precious Metals,1228.50
8/20/2010,Heating Oil,Energy,1.97
8/20/2010,Natural Gas,Energy,1.74
8/20/2010,Platinum,Precious Metals,1513.90
8/20/2010,Rice,Agriculture,11.72
8/20/2010,Silver,Precious Metals,18.04
8/20/2010,Soybeans,Agriculture,1052.00
8/20/2010,Wheat,Agriculture,734.00
8/23/2010,Crude Oil,Energy,73.90
8/23/2010,Gasoline,Energy,1.88
8/23/2010,Gold,Precious Metals,1233.40
8/23/2010,Heating Oil,Energy,1.96
8/23/2010,Natural Gas,Energy,1.81
8/23/2010,Platinum,Precious Metals,1508.60
8/23/2010,Rice,Agriculture,11.82
8/23/2010,Silver,Precious Metals,18.43
8/23/2010,Soybeans,Agriculture,1043.25
8/23/2010,Wheat,Agriculture,713.75
8/24/2010,Crude Oil,Energy,72.95
8/24/2010,Gasoline,Energy,1.85
8/24/2010,Gold,Precious Metals,1241.30
8/24/2010,Heating Oil,Energy,1.94
8/24/2010,Natural Gas,Energy,1.78
8/24/2010,Platinum,Precious Metals,1517.70
8/24/2010,Rice,Agriculture,11.68
8/24/2010,Silver,Precious Metals,19.07
8/24/2010,Soybeans,Agriculture,1031.00
8/24/2010,Wheat,Agriculture,733.75
8/25/2010,Crude Oil,Energy,71.47
8/25/2010,Gasoline,Energy,1.86
8/25/2010,Gold,Precious Metals,1237.70
8/25/2010,Heating Oil,Energy,1.97
8/25/2010,Natural Gas,Energy,1.82
8/25/2010,Platinum,Precious Metals,1527.40
8/25/2010,Rice,Agriculture,11.82
8/25/2010,Silver,Precious Metals,19.02
8/25/2010,Soybeans,Agriculture,1032.50
8/25/2010,Wheat,Agriculture,736.75
8/26/2010,Crude Oil,Energy,73.32
8/26/2010,Gasoline,Energy,1.91
8/26/2010,Gold,Precious Metals,1237.90
8/26/2010,Heating Oil,Energy,2.01
8/26/2010,Natural Gas,Energy,1.88
8/26/2010,Platinum,Precious Metals,1539.90
8/26/2010,Rice,Agriculture,11.79
8/26/2010,Silver,Precious Metals,19.07
8/26/2010,Soybeans,Agriculture,1035.75
8/26/2010,Wheat,Agriculture,745.75
8/27/2010,Crude Oil,Energy,73.18
8/27/2010,Gasoline,Energy,1.91
8/27/2010,Gold,Precious Metals,1239.20
8/27/2010,Heating Oil,Energy,2.01
8/27/2010,Natural Gas,Energy,1.83
8/27/2010,Platinum,Precious Metals,1537.00
8/27/2010,Rice,Agriculture,11.87
8/27/2010,Silver,Precious Metals,19.07
8/27/2010,Soybeans,Agriculture,1043.75
8/27/2010,Wheat,Agriculture,737.75
8/30/2010,Crude Oil,Energy,75.50
8/30/2010,Gasoline,Energy,1.93
8/30/2010,Gold,Precious Metals,1250.30
8/30/2010,Heating Oil,Energy,2.03
8/30/2010,Natural Gas,Energy,1.75
8/30/2010,Platinum,Precious Metals,1533.10
8/30/2010,Rice,Agriculture,12.11
8/30/2010,Silver,Precious Metals,19.43
8/30/2010,Soybeans,Agriculture,1040.00
8/30/2010,Wheat,Agriculture,729.00
8/31/2010,Crude Oil,Energy,74.07
8/31/2010,Gasoline,Energy,1.89
8/31/2010,Gold,Precious Metals,1248.10
8/31/2010,Heating Oil,Energy,1.99
8/31/2010,Natural Gas,Energy,1.67
8/31/2010,Platinum,Precious Metals,1523.50
8/31/2010,Rice,Agriculture,12.11
8/31/2010,Silver,Precious Metals,19.39
8/31/2010,Soybeans,Agriculture,1069.00
8/31/2010,Wheat,Agriculture,726.50
9/1/2010,Crude Oil,Energy,71.70
9/1/2010,Gasoline,Energy,1.89
9/1/2010,Gold,Precious Metals,1253.40
9/1/2010,Heating Oil,Energy,2.04
9/1/2010,Natural Gas,Energy,1.75
9/1/2010,Platinum,Precious Metals,1535.70
9/1/2010,Rice,Agriculture,11.92
9/1/2010,Silver,Precious Metals,19.67
9/1/2010,Soybeans,Agriculture,1082.75
9/1/2010,Wheat,Agriculture,739.25
9/2/2010,Crude Oil,Energy,73.91
9/2/2010,Gasoline,Energy,1.92
9/2/2010,Gold,Precious Metals,1251.10
9/2/2010,Heating Oil,Energy,2.06
9/2/2010,Natural Gas,Energy,1.71
9/2/2010,Platinum,Precious Metals,1551.50
9/2/2010,Rice,Agriculture,12.08
9/2/2010,Silver,Precious Metals,19.95
9/2/2010,Soybeans,Agriculture,1082.50
9/2/2010,Wheat,Agriculture,729.25
9/3/2010,Crude Oil,Energy,74.93
9/3/2010,Gasoline,Energy,1.92
9/3/2010,Gold,Precious Metals,1259.30
9/3/2010,Heating Oil,Energy,2.06
9/3/2010,Natural Gas,Energy,1.50
9/3/2010,Platinum,Precious Metals,1561.10
9/3/2010,Rice,Agriculture,12.26
9/3/2010,Silver,Precious Metals,19.91
9/3/2010,Soybeans,Agriculture,1089.25
9/3/2010,Wheat,Agriculture,722.50
9/7/2010,Crude Oil,Energy,74.00
9/7/2010,Gasoline,Energy,1.93
9/7/2010,Gold,Precious Metals,1257.50
9/7/2010,Heating Oil,Energy,2.07
9/7/2010,Natural Gas,Energy,1.48
9/7/2010,Platinum,Precious Metals,1556.30
9/7/2010,Rice,Agriculture,12.18
9/7/2010,Silver,Precious Metals,20.01
9/7/2010,Soybeans,Agriculture,1092.50
9/7/2010,Wheat,Agriculture,717.00
9/8/2010,Crude Oil,Energy,74.40
9/8/2010,Gasoline,Energy,1.93
9/8/2010,Gold,Precious Metals,1250.90
9/8/2010,Heating Oil,Energy,2.08
9/8/2010,Natural Gas,Energy,1.60
9/8/2010,Platinum,Precious Metals,1562.20
9/8/2010,Rice,Agriculture,12.23
9/8/2010,Silver,Precious Metals,19.86
9/8/2010,Soybeans,Agriculture,1126.00
9/8/2010,Wheat,Agriculture,699.25
9/9/2010,Crude Oil,Energy,74.92
9/9/2010,Gasoline,Energy,1.94
9/9/2010,Gold,Precious Metals,1246.50
9/9/2010,Heating Oil,Energy,2.07
9/9/2010,Natural Gas,Energy,1.64
9/9/2010,Platinum,Precious Metals,1553.30
9/9/2010,Rice,Agriculture,12.10
9/9/2010,Silver,Precious Metals,19.85
9/9/2010,Soybeans,Agriculture,1127.25
9/9/2010,Wheat,Agriculture,720.00
9/10/2010,Crude Oil,Energy,74.40
9/10/2010,Gasoline,Energy,1.97
9/10/2010,Gold,Precious Metals,1247.10
9/10/2010,Heating Oil,Energy,2.10
9/10/2010,Natural Gas,Energy,1.66
9/10/2010,Platinum,Precious Metals,1542.50
9/10/2010,Rice,Agriculture,12.36
9/10/2010,Silver,Precious Metals,20.15
9/10/2010,Soybeans,Agriculture,1109.25
9/10/2010,Wheat,Agriculture,706.00
9/13/2010,Crude Oil,Energy,76.36
9/13/2010,Gasoline,Energy,1.98
9/13/2010,Gold,Precious Metals,1271.70
9/13/2010,Heating Oil,Energy,2.12
9/13/2010,Natural Gas,Energy,1.67
9/13/2010,Platinum,Precious Metals,1549.90
9/13/2010,Rice,Agriculture,12.48
9/13/2010,Silver,Precious Metals,20.43
9/13/2010,Soybeans,Agriculture,1098.00
9/13/2010,Wheat,Agriculture,685.00
9/14/2010,Crude Oil,Energy,77.17
9/14/2010,Gasoline,Energy,1.97
9/14/2010,Gold,Precious Metals,1268.70
9/14/2010,Heating Oil,Energy,2.13
9/14/2010,Natural Gas,Energy,1.64
9/14/2010,Platinum,Precious Metals,1594.40
9/14/2010,Rice,Agriculture,12.51
9/14/2010,Silver,Precious Metals,20.57
9/14/2010,Soybeans,Agriculture,1104.00
9/14/2010,Wheat,Agriculture,683.00
9/15/2010,Crude Oil,Energy,76.64
9/15/2010,Gasoline,Energy,1.96
9/15/2010,Gold,Precious Metals,1273.80
9/15/2010,Heating Oil,Energy,2.17
9/15/2010,Natural Gas,Energy,1.64
9/15/2010,Platinum,Precious Metals,1605.30
9/15/2010,Rice,Agriculture,12.43
9/15/2010,Silver,Precious Metals,20.77
9/15/2010,Soybeans,Agriculture,1057.00
9/15/2010,Wheat,Agriculture,674.25
9/16/2010,Crude Oil,Energy,75.76
9/16/2010,Gasoline,Energy,1.93
9/16/2010,Gold,Precious Metals,1277.50
9/16/2010,Heating Oil,Energy,2.14
9/16/2010,Natural Gas,Energy,1.61
9/16/2010,Platinum,Precious Metals,1611.90
9/16/2010,Rice,Agriculture,12.53
9/16/2010,Silver,Precious Metals,20.82
9/16/2010,Soybeans,Agriculture,1052.00
9/16/2010,Wheat,Agriculture,655.00
9/17/2010,Crude Oil,Energy,74.47
9/17/2010,Gasoline,Energy,1.92
9/17/2010,Gold,Precious Metals,1280.80
9/17/2010,Heating Oil,Energy,2.14
9/17/2010,Natural Gas,Energy,1.67
9/17/2010,Platinum,Precious Metals,1621.90
9/17/2010,Rice,Agriculture,12.37
9/17/2010,Silver,Precious Metals,20.80
9/17/2010,Soybeans,Agriculture,1072.75
9/17/2010,Wheat,Agriculture,647.75
9/20/2010,Crude Oil,Energy,73.59
9/20/2010,Gasoline,Energy,1.95
9/20/2010,Gold,Precious Metals,1274.30
9/20/2010,Heating Oil,Energy,2.15
9/20/2010,Natural Gas,Energy,1.73
9/20/2010,Platinum,Precious Metals,1632.00
9/20/2010,Rice,Agriculture,12.21
9/20/2010,Silver,Precious Metals,20.64
9/20/2010,Soybeans,Agriculture,1062.75
9/20/2010,Wheat,Agriculture,666.75
9/21/2010,Crude Oil,Energy,74.57
9/21/2010,Gasoline,Energy,1.92
9/21/2010,Gold,Precious Metals,1292.10
9/21/2010,Heating Oil,Energy,2.14
9/21/2010,Natural Gas,Energy,1.81
9/21/2010,Platinum,Precious Metals,1612.40
9/21/2010,Rice,Agriculture,12.51
9/21/2010,Silver,Precious Metals,21.06
9/21/2010,Soybeans,Agriculture,1063.25
9/21/2010,Wheat,Agriculture,659.25
9/22/2010,Crude Oil,Energy,75.46
9/22/2010,Gasoline,Energy,1.92
9/22/2010,Gold,Precious Metals,1296.30
9/22/2010,Heating Oil,Energy,2.13
9/22/2010,Natural Gas,Energy,1.78
9/22/2010,Platinum,Precious Metals,1632.90
9/22/2010,Rice,Agriculture,12.71
9/22/2010,Silver,Precious Metals,21.21
9/22/2010,Soybeans,Agriculture,1135.00
9/22/2010,Wheat,Agriculture,661.50
9/23/2010,Crude Oil,Energy,74.84
9/23/2010,Gasoline,Energy,1.89
9/23/2010,Gold,Precious Metals,1298.10
9/23/2010,Heating Oil,Energy,2.13
9/23/2010,Natural Gas,Energy,1.77
9/23/2010,Platinum,Precious Metals,1650.20
9/23/2010,Rice,Agriculture,12.75
9/23/2010,Silver,Precious Metals,21.40
9/23/2010,Soybeans,Agriculture,1163.25
9/23/2010,Wheat,Agriculture,719.25
9/24/2010,Crude Oil,Energy,76.40
9/24/2010,Gasoline,Energy,1.94
9/24/2010,Gold,Precious Metals,1298.60
9/24/2010,Heating Oil,Energy,2.15
9/24/2010,Natural Gas,Energy,1.79
9/24/2010,Platinum,Precious Metals,1645.40
9/24/2010,Rice,Agriculture,13.25
9/24/2010,Silver,Precious Metals,21.47
9/24/2010,Soybeans,Agriculture,1178.50
9/24/2010,Wheat,Agriculture,708.50
9/27/2010,Crude Oil,Energy,76.47
9/27/2010,Gasoline,Energy,1.94
9/27/2010,Gold,Precious Metals,1308.30
9/27/2010,Heating Oil,Energy,2.14
9/27/2010,Natural Gas,Energy,1.78
9/27/2010,Platinum,Precious Metals,1635.00
9/27/2010,Rice,Agriculture,13.05
9/27/2010,Silver,Precious Metals,21.71
9/27/2010,Soybeans,Agriculture,1189.00
9/27/2010,Wheat,Agriculture,712.00
9/28/2010,Crude Oil,Energy,76.23
9/28/2010,Gasoline,Energy,1.94
9/28/2010,Gold,Precious Metals,1310.30
9/28/2010,Heating Oil,Energy,2.14
9/28/2010,Natural Gas,Energy,1.82
9/28/2010,Platinum,Precious Metals,1640.70
9/28/2010,Rice,Agriculture,13.46
9/28/2010,Silver,Precious Metals,21.95
9/28/2010,Soybeans,Agriculture,1203.50
9/28/2010,Wheat,Agriculture,703.50
9/29/2010,Crude Oil,Energy,76.20
9/29/2010,Gasoline,Energy,1.94
9/29/2010,Gold,Precious Metals,1309.60
9/29/2010,Heating Oil,Energy,2.21
9/29/2010,Natural Gas,Energy,1.82
9/29/2010,Platinum,Precious Metals,1656.60
9/29/2010,Rice,Agriculture,13.34
9/29/2010,Silver,Precious Metals,21.82
9/29/2010,Soybeans,Agriculture,1195.75
9/29/2010,Wheat,Agriculture,703.75
9/30/2010,Crude Oil,Energy,77.91
9/30/2010,Gasoline,Energy,2.04
9/30/2010,Gold,Precious Metals,1317.80
9/30/2010,Heating Oil,Energy,2.27
9/30/2010,Natural Gas,Energy,1.78
9/30/2010,Platinum,Precious Metals,1658.60
9/30/2010,Rice,Agriculture,13.59
9/30/2010,Silver,Precious Metals,22.06
9/30/2010,Soybeans,Agriculture,1197.50
9/30/2010,Wheat,Agriculture,704.50
10/1/2010,Crude Oil,Energy,79.84
10/1/2010,Gasoline,Energy,2.09
10/1/2010,Gold,Precious Metals,1316.80
10/1/2010,Heating Oil,Energy,2.29
10/1/2010,Natural Gas,Energy,1.77
10/1/2010,Platinum,Precious Metals,1682.10
10/1/2010,Rice,Agriculture,13.59
10/1/2010,Silver,Precious Metals,22.04
10/1/2010,Soybeans,Agriculture,1188.25
10/1/2010,Wheat,Agriculture,692.75
10/4/2010,Crude Oil,Energy,81.68
10/4/2010,Gasoline,Energy,2.09
10/4/2010,Gold,Precious Metals,1340.30
10/4/2010,Heating Oil,Energy,2.28
10/4/2010,Natural Gas,Energy,1.85
10/4/2010,Platinum,Precious Metals,1672.10
10/4/2010,Rice,Agriculture,13.79
10/4/2010,Silver,Precious Metals,22.74
10/4/2010,Soybeans,Agriculture,1228.25
10/4/2010,Wheat,Agriculture,674.50
10/5/2010,Crude Oil,Energy,81.37
10/5/2010,Gasoline,Energy,2.12
10/5/2010,Gold,Precious Metals,1347.70
10/5/2010,Heating Oil,Energy,2.30
10/5/2010,Natural Gas,Energy,1.83
10/5/2010,Platinum,Precious Metals,1700.70
10/5/2010,Rice,Agriculture,13.93
10/5/2010,Silver,Precious Metals,23.04
10/5/2010,Soybeans,Agriculture,1219.50
10/5/2010,Wheat,Agriculture,690.00
10/6/2010,Crude Oil,Energy,83.08
10/6/2010,Gasoline,Energy,2.16
10/6/2010,Gold,Precious Metals,1335.00
10/6/2010,Heating Oil,Energy,2.31
10/6/2010,Natural Gas,Energy,1.72
10/6/2010,Platinum,Precious Metals,1712.00
10/6/2010,Rice,Agriculture,14.41
10/6/2010,Silver,Precious Metals,22.58
10/6/2010,Soybeans,Agriculture,1211.50
10/6/2010,Wheat,Agriculture,671.00
10/7/2010,Crude Oil,Energy,83.27
10/7/2010,Gasoline,Energy,2.12
10/7/2010,Gold,Precious Metals,1345.30
10/7/2010,Heating Oil,Energy,2.25
10/7/2010,Natural Gas,Energy,1.79
10/7/2010,Platinum,Precious Metals,1705.00
10/7/2010,Rice,Agriculture,14.41
10/7/2010,Silver,Precious Metals,23.11
10/7/2010,Soybeans,Agriculture,1228.50
10/7/2010,Wheat,Agriculture,670.75
10/8/2010,Crude Oil,Energy,81.43
10/8/2010,Gasoline,Energy,2.15
10/8/2010,Gold,Precious Metals,1354.40
10/8/2010,Heating Oil,Energy,2.28
10/8/2010,Natural Gas,Energy,1.73
10/8/2010,Platinum,Precious Metals,1708.70
10/8/2010,Rice,Agriculture,14.52
10/8/2010,Silver,Precious Metals,23.35
10/8/2010,Soybeans,Agriculture,1239.00
10/8/2010,Wheat,Agriculture,676.00
10/11/2010,Crude Oil,Energy,82.95
10/11/2010,Gasoline,Energy,2.17
10/11/2010,Gold,Precious Metals,1346.70
10/11/2010,Heating Oil,Energy,2.28
10/11/2010,Natural Gas,Energy,1.71
10/11/2010,Platinum,Precious Metals,1690.80
10/11/2010,Rice,Agriculture,14.93
10/11/2010,Silver,Precious Metals,23.15
10/11/2010,Soybeans,Agriculture,1235.75
10/11/2010,Wheat,Agriculture,697.50
10/12/2010,Crude Oil,Energy,81.94
10/12/2010,Gasoline,Energy,2.12
10/12/2010,Gold,Precious Metals,1370.50
10/12/2010,Heating Oil,Energy,2.26
10/12/2010,Natural Gas,Energy,1.77
10/12/2010,Platinum,Precious Metals,1683.30
10/12/2010,Rice,Agriculture,15.13
10/12/2010,Silver,Precious Metals,23.93
10/12/2010,Soybeans,Agriculture,1233.25
10/12/2010,Wheat,Agriculture,704.00
10/13/2010,Crude Oil,Energy,81.72
10/13/2010,Gasoline,Energy,2.17
10/13/2010,Gold,Precious Metals,1377.60
10/13/2010,Heating Oil,Energy,2.30
10/13/2010,Natural Gas,Energy,1.83
10/13/2010,Platinum,Precious Metals,1707.40
10/13/2010,Rice,Agriculture,15.17
10/13/2010,Silver,Precious Metals,24.44
10/13/2010,Soybeans,Agriculture,1236.00
10/13/2010,Wheat,Agriculture,718.75
10/14/2010,Crude Oil,Energy,83.23
10/14/2010,Gasoline,Energy,2.12
10/14/2010,Gold,Precious Metals,1372.00
10/14/2010,Heating Oil,Energy,2.30
10/14/2010,Natural Gas,Energy,1.78
10/14/2010,Platinum,Precious Metals,1712.60
10/14/2010,Rice,Agriculture,15.04
10/14/2010,Silver,Precious Metals,24.29
10/14/2010,Soybeans,Agriculture,1239.25
10/14/2010,Wheat,Agriculture,717.25
10/15/2010,Crude Oil,Energy,82.77
10/15/2010,Gasoline,Energy,2.08
10/15/2010,Gold,Precious Metals,1372.10
10/15/2010,Heating Oil,Energy,2.25
10/15/2010,Natural Gas,Energy,1.65
10/15/2010,Platinum,Precious Metals,1695.40
10/15/2010,Rice,Agriculture,14.73
10/15/2010,Silver,Precious Metals,24.41
10/15/2010,Soybeans,Agriculture,1236.25
10/15/2010,Wheat,Agriculture,706.25
10/18/2010,Crude Oil,Energy,81.38
10/18/2010,Gasoline,Energy,2.13
10/18/2010,Gold,Precious Metals,1336.00
10/18/2010,Heating Oil,Energy,2.30
10/18/2010,Natural Gas,Energy,1.68
10/18/2010,Platinum,Precious Metals,1698.30
10/18/2010,Rice,Agriculture,14.09
10/18/2010,Silver,Precious Metals,23.78
10/18/2010,Soybeans,Agriculture,1240.50
10/18/2010,Wheat,Agriculture,696.25
10/19/2010,Crude Oil,Energy,82.95
10/19/2010,Gasoline,Energy,2.03
10/19/2010,Gold,Precious Metals,1344.20
10/19/2010,Heating Oil,Energy,2.21
10/19/2010,Natural Gas,Energy,1.62
10/19/2010,Platinum,Precious Metals,1677.60
10/19/2010,Rice,Agriculture,14.38
10/19/2010,Silver,Precious Metals,23.86
10/19/2010,Soybeans,Agriculture,1280.00
10/19/2010,Wheat,Agriculture,694.00
10/20/2010,Crude Oil,Energy,79.48
10/20/2010,Gasoline,Energy,2.07
10/20/2010,Gold,Precious Metals,1325.60
10/20/2010,Heating Oil,Energy,2.27
10/20/2010,Natural Gas,Energy,1.72
10/20/2010,Platinum,Precious Metals,1687.30
10/20/2010,Rice,Agriculture,14.76
10/20/2010,Silver,Precious Metals,23.14
10/20/2010,Soybeans,Agriculture,1284.00
10/20/2010,Wheat,Agriculture,722.50
10/21/2010,Crude Oil,Energy,81.80
10/21/2010,Gasoline,Energy,2.03
10/21/2010,Gold,Precious Metals,1325.10
10/21/2010,Heating Oil,Energy,2.23
10/21/2010,Natural Gas,Energy,1.83
10/21/2010,Platinum,Precious Metals,1673.40
10/21/2010,Rice,Agriculture,14.90
10/21/2010,Silver,Precious Metals,23.12
10/21/2010,Soybeans,Agriculture,1272.25
10/21/2010,Wheat,Agriculture,728.75
10/22/2010,Crude Oil,Energy,80.73
10/22/2010,Gasoline,Energy,2.05
10/22/2010,Gold,Precious Metals,1338.90
10/22/2010,Heating Oil,Energy,2.27
10/22/2010,Natural Gas,Energy,1.82
10/22/2010,Platinum,Precious Metals,1675.10
10/22/2010,Rice,Agriculture,14.98
10/22/2010,Silver,Precious Metals,23.54
10/22/2010,Soybeans,Agriculture,1319.00
10/22/2010,Wheat,Agriculture,736.75
10/25/2010,Crude Oil,Energy,83.00
10/25/2010,Gasoline,Energy,2.07
10/25/2010,Gold,Precious Metals,1338.60
10/25/2010,Heating Oil,Energy,2.27
10/25/2010,Natural Gas,Energy,1.89
10/25/2010,Platinum,Precious Metals,1697.00
10/25/2010,Rice,Agriculture,15.44
10/25/2010,Silver,Precious Metals,23.83
10/25/2010,Soybeans,Agriculture,1322.25
10/25/2010,Wheat,Agriculture,715.25
10/26/2010,Crude Oil,Energy,82.35
10/26/2010,Gasoline,Energy,2.08
10/26/2010,Gold,Precious Metals,1322.60
10/26/2010,Heating Oil,Energy,2.27
10/26/2010,Natural Gas,Energy,1.94
10/26/2010,Platinum,Precious Metals,1704.00
10/26/2010,Rice,Agriculture,15.18
10/26/2010,Silver,Precious Metals,23.40
10/26/2010,Soybeans,Agriculture,1344.75
10/26/2010,Wheat,Agriculture,706.75
10/27/2010,Crude Oil,Energy,80.82
10/27/2010,Gasoline,Energy,2.08
10/27/2010,Gold,Precious Metals,1342.50
10/27/2010,Heating Oil,Energy,2.26
10/27/2010,Natural Gas,Energy,2.13
10/27/2010,Platinum,Precious Metals,1678.10
10/27/2010,Rice,Agriculture,14.62
10/27/2010,Silver,Precious Metals,23.88
10/27/2010,Soybeans,Agriculture,1269.00
10/27/2010,Wheat,Agriculture,747.50
10/28/2010,Crude Oil,Energy,81.99
10/28/2010,Gasoline,Energy,2.08
10/28/2010,Gold,Precious Metals,1357.60
10/28/2010,Heating Oil,Energy,2.26
10/28/2010,Natural Gas,Energy,1.99
10/28/2010,Platinum,Precious Metals,1692.00
